name,time,Air0min,Air0max,T_RDC_PV,Air1min,Air1max,T_1ER_PV,T_Ext_PV,Cloud,T_Depart_PV,EV_3Voies,EV_RDC,EV_1ER,RayM0,RayF0,RayM1,RayF1
Caleyere,1674691552000000000,17.5,17.5,12.5,16.5,16.5,12,-3,8,11,0,0,0,0,0,0,0
Caleyere,1674691852000000000,,,12.5,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674692153000000000,,,12.5,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674692453000000000,17.5,17.5,12.5,16.5,16.5,11.5,-3,8,11,0,0,0,0,0,0,0
Caleyere,1674692753000000000,,,12.5,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674693053000000000,,,12.5,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674693353000000000,17.5,17.5,12.5,16.5,16.5,11.5,-3,41,11,0,0,0,0,0,0,0
Caleyere,1674693653000000000,,,12.5,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674693953000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674694253000000000,17.5,17.5,12,16.5,16.5,11.5,-3,41,11,0,0,0,0,0,0,0
Caleyere,1674694553000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674694854000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674695154000000000,17.5,17.5,12,16.5,16.5,11.5,-3,41,11,0,0,0,0,0,0,0
Caleyere,1674695455000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674695755000000000,,,12,,,11.5,-4,,11,0,0,0,,,,
Caleyere,1674696055000000000,17.5,17.5,12,16.5,16.5,11.5,-4,41,11,0,0,0,0,0,0,0
Caleyere,1674696355000000000,,,12,,,11.5,-4,,11,0,0,0,,,,
Caleyere,1674696655000000000,,,12,,,11.5,-4,,11,0,0,0,,,,
Caleyere,1674696955000000000,17.5,17.5,12,16.5,16.5,11.5,-3,22,11,0,0,0,0,0,0,0
Caleyere,1674697255000000000,,,12,,,11.5,-4,,11,0,0,0,,,,
Caleyere,1674697555000000000,,,12,,,11.5,-4,,11,0,0,0,,,,
Caleyere,1674697855000000000,17.5,17.5,12,16.5,16.5,11.5,-4,22,11,0,0,0,0,0,0,0
Caleyere,1674698155000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674698455000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674698755000000000,17.5,17.5,12,16.5,16.5,11.5,-3,22,11,0,0,0,0,0,0,0
Caleyere,1674699056000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674699356000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674699656000000000,17.5,17.5,12,16.5,16.5,11.5,-3,22,11,0,0,0,0,0,0,0
Caleyere,1674699956000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674700256000000000,,,12,,,11.5,-3,,11,0,0,0,,,,
Caleyere,1674700556000000000,17.5,17.5,12,16.5,16.5,11,-4,15,11,0,0,0,0,0,0,0
Caleyere,1674700856000000000,,,12,,,11,-4,,11,0,0,0,,,,
Caleyere,1674701156000000000,,,12,,,11,-4,,11,0,0,0,,,,
